Price,Area,Floor,Rooms,Total_Floor,Floor/Total_Flor
870000000,82,7,3,9,0.777777778
210000000,23,2,1,3,0.666666667
836000000,78,3,3,4,0.75
535000000,45,2,2,5,0.4
754000000,66,3,2,4,0.75
412000000,43.72,5,1,5,1
2673000000,150,3,4,9,0.333333333
402000000,82,10,3,12,0.833333333
435000000,72,4,3,4,1
454000000,75,9,3,9,1
573000000,95,7,4,9,0.777777778
523000000,57,1,2,5,0.2
540000000,78,5,3,9,0.555555556
1736000000,7,1,10,1,1
1026000000,100,10,4,12,0.833333333
972000000,89,5,4,9,0.555555556
1188000000,85,2,3,4,0.5
489000000,62,3,2,9,0.333333333
745000000,65,1,3,4,0.25
405000000,56,3,2,5,0.6
933000000,51,2,2,4,0.5
531000000,78,5,3,5,1
200000000,204,3,7,7,0.428571429
648000000,95,5,3,10,0.5
570000000,68,1,3,9,0.111111111
1074000000,116,4,3,5,0.8
297000000,45,9,1,9,1
486000000,60,4,2,5,0.8
648000000,72,9,3,9,1
470000000,37.6,2,3,4,0.5
1297000000,97.21,4,3,5,0.8
320000000,33,3,1,3,1
3052000000,194,12,4,25,0.48
790000000,100,3,3,3,1
674000000,64,6,2,9,0.666666667
652000000,56,7,2,9,0.777777778
866000000,73,7,3,12,0.583333333
627000000,69,5,3,5,1
446000000,60,3,2,4,0.75
423000000,50,3,2,4,0.75
490000000,43.73,2,2,7,0.285714286
393000000,46,4,2,5,0.8
400000000,39,5,2,5,1
478000000,54,3,2,4,0.75
615000000,69.5,1,3,4,0.25
448000000,55,1,2,4,0.25
887000000,85,3,4,4,0.75
808000000,107,4,5,9,0.444444444
429000000,54,3,2,4,0.75
1082000000,88,3,2,8,0.375
1030000000,75,1,3,4,0.25
1404000000,96,4,3,8,0.5
1139000000,100,3,3,5,0.6
434000000,56,2,3,2,1
758000000,100,4,4,4,1
1350000000,82,6,2,6,1
975000000,90,3,4,5,0.6
552000000,76,2,3,4,0.5
837000000,94,5,4,9,0.555555556
500000000,50,3,2,4,0.75
1300000000,80,3,3,4,0.75
618000000,62,2,2,9,0.222222222
800000000,80,4,3,4,1
1085000000,117.18,3,2,4,0.75
1052000000,70,4,3,4,1
516000000,57,1,2,4,0.25
359000000,43,2,1,4,0.5
520000000,73.02,4,3,4,1
1335000000,178,1,9,2,0.5
765000000,63,1,3,4,0.25
445000000,54.25,2,2,4,0.5
608000000,68,3,3,4,0.75
696000000,80,9,3,9,1
1123000000,110.6,1,3,4,0.25
483000000,47.2,5,2,7,0.714285714
1606000000,168,6,3,8,0.75
378000000,79.34,12,3,12,1
2600000000,80,1,3,4,0.25
907000000,85,3,3,4,0.75
392000000,53,5,2,9,0.555555556
601000000,72,6,3,9,0.666666667
540000000,60,3,2,5,0.6
772000000,67,2,3,4,0.5
286000000,37.29,6,1,9,0.666666667
837000000,80.7,3,4,5,0.6
691000000,67,4,3,4,1
1836000000,213,5,6,6,0.833333333
345000000,48,5,2,5,1
1674000000,177,2,6,9,0.222222222
814000000,100,1,4,9,0.111111111
1994000000,230,2,6,4,0.5
621000000,32,9,2,9,1
5425000000,500,8,8,10,0.8
414000000,50.11,5,2,5,1
2055000000,105,8,3,10,0.8
305000000,42,5,1,5,1
477000000,63,2,3,4,0.5
723000000,70,3,3,5,0.6
580000000,62,4,2,4,1
680000000,78,1,3,5,0.2
617000000,69,2,3,9,0.222222222
594000000,69,3,3,5,0.6
651000000,70,5,2,9,0.555555556
1199000000,140,2,4,7,0.285714286
1009000000,100,2,4,9,0.222222222
562000000,67,4,3,5,0.8
507000000,66,2,2,9,0.222222222
615000000,94,7,4,9,0.777777778
446000000,59,8,2,9,0.888888889
487000000,54,6,2,7,0.857142857
994000000,100,6,3,9,0.666666667
283000000,48,3,2,4,0.75
1404000000,95,8,3,8,1
272000000,48,1,2,4,0.25
505000000,64,4,3,5,0.8
486000000,77,2,3,4,0.5
594000000,42,9,1,9,1
759000000,65,3,3,9,0.333333333
973000000,89,4,3,4,1
955000000,65,2,3,9,0.222222222
682000000,90,5,3,5,1
672000000,62,2,2,9,0.222222222
584000000,65.7,3,3,5,0.6
786000000,105,5,4,9,0.555555556
846000000,104,4,4,9,0.444444444
666000000,82.5,5,3,5,1
337000000,38,1,1,4,0.25
1190000000,105,7,3,8,0.875
481000000,43,1,3,4,0.25
351000000,32,2,1,5,0.4
596000000,66,4,3,4,1
2331000000,210,1,7,6,0.166666667
854000000,67,2,3,4,0.5
1348000000,60,1,2,4,0.25
596000000,50,1,2,4,0.25
1050000000,72,7,2,8,0.875
534000000,65,3,3,4,0.75
1078000000,152,5,4,7,0.714285714
786000000,68,1,3,4,0.25
663000000,70,3,3,5,0.6
640000000,56,1,2,4,0.25
605000000,65,4,3,9,0.444444444
899000000,118,7,4,9,0.777777778
1000000000,89,5,4,9,0.555555556
638000000,76,2,3,4,0.5
594000000,90,5,4,5,1
512000000,47,4,2,4,1
1068000000,80,2,3,7,0.285714286
607000000,49,3,2,4,0.75
369000000,47,3,2,4,0.75
969000000,100,4,3,6,0.666666667
480000000,59,2,2,4,0.5
780000000,83.09,5,4,5,1
836000000,110,9,4,10,0.9
840000000,100,5,3,5,1
572000000,60,1,2,4,0.25
529000000,60,1,2,4,0.25
488000000,65,2,3,4,0.5
781000000,64.02,1,2,8,0.125
392000000,38,1,2,4,0.25
507000000,60,4,2,4,1
296000000,28,4,1,4,1
434000000,60,4,2,5,0.8
595000000,94,2,4,9,0.222222222
965000000,120.07,3,3,5,0.6
750000000,100,8,4,8,1
675000000,77,1,3,9,0.111111111
790000000,82.11,2,3,9,0.222222222
393000000,39,2,1,4,0.5
702000000,60,9,2,9,1
600000000,74,9,3,9,1
696000000,100,1,3,4,0.25
673000000,53,1,3,4,0.25
1350000000,109,4,4,7,0.571428571
357000000,66,3,2,8,0.375
810000000,91,2,3,4,0.5
778000000,70,6,3,9,0.666666667
595000000,50,1,2,9,0.111111111
238000000,24,1,1,3,0.333333333
573000000,53,7,2,9,0.777777778
313000000,38,1,1,4,0.25
1570000000,92,5,3,8,0.625
708000000,80,3,3,9,0.333333333
618000000,76,2,3,5,0.4
472000000,60,1,2,5,0.2
497000000,85,7,3,9,0.777777778
755000000,60,3,2,5,0.6
836000000,82.69,2,3,5,0.4
376000000,42,8,2,9,0.888888889
538000000,62,4,2,4,1
454000000,47,7,2,9,0.777777778
639000000,76,1,3,5,0.2
499000000,45,2,1,4,0.5
1566000000,70.68,1,3,5,0.2
335000000,48,5,2,5,1
472000000,50,1,2,4,0.25
690000000,68,3,3,5,0.6
853000000,70,3,2,6,0.5
371000000,50,3,2,5,0.6
564000000,57.38,10,2,12,0.833333333
378000000,60,3,2,4,0.75
426000000,49,1,2,4,0.25
360000000,65,1,3,4,0.25
508000000,60,3,2,5,0.6
671000000,76,3,3,4,0.75
2225000000,133,4,4,9,0.444444444
975000000,69,3,2,7,0.428571429
1620000000,240,8,7,9,0.888888889
1082000000,133,4,4,9,0.444444444
725000000,67,2,2,5,0.4
414000000,50.38,4,2,4,1
575000000,63,3,3,5,0.6
487000000,45,9,2,9,1
497000000,62,4,3,4,1
1026000000,68,6,2,7,0.857142857
1113000000,113,2,4,5,0.4
336000000,30,4,1,4,1
401000000,60,4,2,4,1
1198000000,106,2,3,3,0.666666667
488000000,86,8,3,9,0.888888889
450000000,60.2,7,2,9,0.777777778
363000000,30,2,1,5,0.4
443000000,76.2,3,3,4,0.75
497000000,60,3,2,4,0.75
390000000,46,3,2,4,0.75
1566000000,133,2,4,8,0.25
638000000,50,6,2,9,0.666666667
648000000,66,3,3,4,0.75
900000000,47,6,1,9,0.666666667
350000000,64.5,4,2,4,1
448000000,54.7,4,2,9,0.444444444
658000000,48.5,3,2,8,0.375
487000000,59.4,4,3,9,0.444444444
492000000,64,2,3,4,0.5
463000000,74,4,3,4,1
536000000,77,4,3,5,0.8
446000000,78,5,3,5,1
821000000,97,8,4,9,0.888888889
564000000,67,1,3,4,0.25
918000000,67,3,2,9,0.333333333
648000000,63.15,2,3,5,0.4
502000000,60,4,2,4,1
412000000,58,9,2,9,1
757000000,85,6,3,9,0.666666667
523000000,41.46,1,2,4,0.25
878000000,100,3,4,9,0.333333333
623000000,59,1,2,5,0.2
648000000,108,8,4,9,0.888888889
378000000,76.7,1,3,2,0.5
345000000,56.28,2,2,2,1
703000000,100,9,4,9,1
305000000,58.4,1,2,2,0.5
324000000,58.2,2,2,4,0.5
648000000,66,2,2,3,0.666666667
565000000,76,4,3,5,0.8
351000000,57,5,2,5,1
900000000,131,5,4,9,0.555555556
540000000,77.08,4,3,5,0.8
540000000,93,9,4,9,1
879000000,90,9,3,9,1
894000000,92,5,4,5,1
483000000,54,2,2,4,0.5
1055000000,89,1,4,9,0.111111111
1291000000,223,7,7,7,1
226000000,30,9,1,9,1
