;Klub nomi;Kulub joylashgan davlat;Fudbolchilar soni;Klub stadioni nomi;Kulub reytingi (global);Klub yaratilgan yil;Xalqaro bozordagi qiymati       mln  $;
1;FC Chelsea;Angliya(Buyuk Britaniya);37;Standford Bridge;5;1905;846;
2;FC Liverpool;Angliya(Buyuk Britaniya);40;Enfild Arena;2;1892;867;
3;AC Milan;Italiya;38;San-Siro;24;1395;257;
4;FC Real Madrid;Ispaniya;29;Santiago Bernabeo;4;1902;839;
5;FC Paris-Saint-German;Fransiya;32;Park de Prens;7;1970;889;
6;AJAX;Niderlandiya;38;Yoxan Kroyff Arena;16;1900;172;
7;Bayern Munich;Bavarya(Germaniya);27;Alianz Arena;1;1900;920;
8;Zenit;Rossiya;27;Petrovskiy;37;1925;183;
9;Benfika;Portugaliya;32;Estadio da Luz;27;1904;326;
10;Espaniol;Ispaniya;30;RCDE Stadium;88;1900;739;
11;Sporting;Portugaliya;33;Jos? Alvalade Stadium;29;1906;234;
12;FC Manchestr City;Angliya(Buyuk Britaniya);31;Etihad Stadium;3;1880;1 090;
13;FC Manchestr United;Angliya(Buyuk Britaniya);32;Old Trafford;9;1878;732;
14;FC Barselona;Kataloniya(Ispaniya);29;Kamp Nou;6;1899;799;
15;FC Roma;Italiya;30;Stadio Olimpico;11;1927;366;
16;FC Juventus;Italiya;41;Alianz Stadium;8;1897;452;
17;Monaco;Monako;30;Louis II Stadium;65;1919;345;
18;Marsell;Fransiya;25;Orange V?lodrome;35;1899;244;
19;Dinamo Zargeb;Xorvatiya;30;Stadion Maksimir;34;1911;107,5;
20;Betis;Ispaniya;37;Benito Villamar?n Stadium;70;1907;27;
21;Shaxtiyor;Ukraina;29;Metalist Stadium;21;1936;116;
22;Krasnodar;Krasnodar(Rossiya);41;Krasnodar Stadium;64;2008;64;
23;Palmeras;Braziliya;43;Allianz Parque;17;1914;183;
24;FC Arsenal;Angliya(Buyuk Britaniya);39;Emirates Stadium;20;1886;749;
25;Lion;Fransiya;28;Groupama Stadium;20;1949;250;
26;Qayrat;Qozog`iston;36;Almaty Central Stadium;126;1954;6;
27;Borussiya Dortmund;Germaniya;32;Signal Iduna Park;18;1909;509;
28;Ferranbahche;Turkiya;34;??kr? Saraco?lu Stadium;108;1907;177;
29;Galatasaray;Turkiya;46;Nef Stadium;53;1905;141;
30;Neftchi;Ozarbayjon;38;Bakcell Arena;139;1937;10;
31;Trabzonspor;Turkiya;35;Trabzonspor Stadium;229;1967;146;
32;Leypsig;Germaniya;26;Red Bull Arena;13;2009;480;
33;Napoli;Italiya;28;Diego Armando Maradona Stadium;25;1926;540;
34;Dinamo Kiyev;Ukraina;35;"National Sports Complex “Olympiyskiy""";39;1927;105;
35;Lokamativ Moskva;Rossiya;33;RZD Arena;49;1923;65;
36;Lester City;Angliya(Buyuk Britaniya);29;King Power Stadium;63;1884;428;
37;Kilmarnok;Shotlandiya(Buyuk Britaniya);32;Kilmarnock Football Club Shop;173;1869;9,63;
38;Ayntraxt;Germaniya;28;Deutsche Bank Park;26;1899;263;
39;Atalanta;Italiya;28;Gewiss Stadium;23;1907;327;
40;Reynjers;Shotlandiya(Buyuk Britaniya);37;Ibrox Stadium;32;1872;124;
41;Seviliya;Ispaniya;51;Ramon Sanchez-Pizjuan Stadium;12;1890;225;
42;Tottenham;Angliya(Buyuk Britaniya);40;Tottenham Hotspur Stadium;14;1882;678;
43;Zalsburg;Avstriya;29;Red Bull Arena;22;1933;236;
44;Portu;Portugaliya;32;Est?dio do Drag?o;15;1893;264;
45;Bryugge;Belgiya;33;Jan Breydel Stadium;44;1891;184;
46;Yang boys;Shvetsariya;27;Wankdorf Stadium;46;1898;56,35;
47;Olimpiakos;Gretsiya;39;The Georgios Karaiskakis Stadium;40;1925;161;
48;Seltik;Shotlandiya(Buyuk Britaniya);30;Celtic Park;50;1887;112;
49;Beshiktosh;Turkiya;35;Vodafone Park;54;1903;121;
50;Hoffenhaym;Germaniya;30;Rhein-Neckar-Arena;72;1945;163;
